SOI_1,SOI_2,SOI_3,SOI_4,SOI_5,SOI_6,SOI_7,SOI_8,SOI_9,ECR_1,ECR_2,ECR_3,ECR_4,ECR_5,ECR_6,ECR_7,ECR_8,ECR_9,ECR_10,ECR_11,ECR_12,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,AttitInfid_1,AttitInfid_2,AttitInfid_3,AttitInfid_4,AttitInfid_5,AttitInfid_6,AttitInfid_7,AttitInfid_8,AttitInfid_9,AttitInfid_10,AttitInfid_11,AttitInfid_12,TightLoose_1,TightLoose_2,TightLoose_3,TightLoose_4,TightLoose_5,TightLoose_6,IntentInfid_1,IntentInfid_2,IntentInfid_3,IntentInfid_4,IntentInfid_5,IntentInfid_6,IntentInfid_7,gender,sexori,Age,Ethnic,Ethnic_4_TEXT,Ethnic_8_TEXT,Ethnic_13_TEXT,Ethnic_17_TEXT,nation,nation_group,religion,religion_11_TEXT,urbanity,SexEd
1,1,1,3,1,3,3,3,2,5,4,1,1,5,1,1,5,5,4,1,1,6,5,5,5,6,3,6,2,5,2,2,2,2,4,3,3,6,7,1,1,1,7,5,6,4,6,4,5,1,1,7,2,1,1,1,Male,Homosexual,25-34,"Any other Asian background, please describe",,,Pacific Islander,,2,N_America,Buddhist,,2,1
1,1,1,4,4,4,2,1,1,,,,,,,,,,,,,3,2,5,3,5,4,5,2,5,2,1,5,1,5,7,6,6,7,1,2,2,7,3,4,4,4,3,4,1,1,5,6,5,1,1,Male,Asexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Other,Combination of catholic & jewish with my family,3,1
2,2,1,4,2,2,3,2,1,5,1,2,3,3,4,3,4,4,3,1,5,5,1,7,5,7,2,7,2,7,6,1,7,1,2,4,7,7,7,1,1,1,2,4,2,5,2,5,4,1,7,1,3,6,1,1,Male,Heterosexual,35-44,White: Irish,,,,,2,N_America,Christian,,2,1
5,4,5,5,5,1,5,4,5,,,,,,,,,,,,,2,3,6,4,7,6,5,5,6,2,2,6,4,7,6,3,5,5,4,2,4,7,2,5,4,5,5,4,2,6,2,7,6,2,2,Male,Homosexual,35-44,"Any other White background, please describe","White, US American",,,,2,N_America,Atheist,,2,1
3,1,2,5,5,1,4,3,3,,,,,,,,,,,,,7,3,7,2,7,3,5,2,4,5,2,2,2,6,5,1,2,1,6,1,7,6,4,4,6,4,1,5,7,7,6,6,1,6,1,Male,Bisexual,45-54,"Any other White background, please describe",White : USA,,,,2,N_America,Agnostic,,3,1
5,5,5,5,5,1,4,3,3,,,,,,,,,,,,,4,2,4,5,6,2,6,3,3,3,1,6,5,5,2,2,5,4,5,1,2,5,1,5,2,1,4,5,4,2,6,3,5,5,4,Male,Homosexual,45-54,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Atheist,,3,#NULL!
1,2,5,5,5,1,4,4,4,,,,,,,,,,,,,5,5,5,5,4,5,5,5,5,5,1,6,5,7,2,6,6,2,6,1,3,6,4,4,2,4,4,4,5,5,5,5,5,2,1,Male,Bisexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Agnostic,,2,3
3,1,2,5,4,1,4,3,4,,,,,,,,,,,,,3,2,5,5,6,5,5,1,4,4,2,6,2,5,6,6,5,6,1,1,1,7,4,3,4,5,3,4,5,5,2,6,4,5,4,Male,Heterosexual,18-24,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Agnostic,,3,2
2,5,4,4,4,1,4,4,4,5,4,2,1,5,2,1,2,4,2,1,4,6,6,3,5,6,2,6,3,6,3,1,4,2,3,2,1,6,1,1,2,1,7,2,5,5,2,4,4,5,2,7,6,2,3,5,Male,Bisexual,18-24,"Any other White background, please describe",German,,,,29,W_Europe,Atheist,,1,2
2,4,4,2,1,2,1,1,1,5,5,1,1,5,4,1,1,5,5,1,5,3,6,7,6,5,7,7,1,7,3,1,7,2,1,1,7,7,7,1,1,1,7,6,5,6,6,2,6,1,1,7,1,1,1,1,Male,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Atheist,,2,2
4,4,5,4,4,2,2,3,2,,,,,,,,,,,,,7,5,5,2,7,5,7,5,5,1,1,7,1,2,5,7,7,6,1,1,1,7,3,5,6,1,4,5,1,1,6,1,4,1,1,Male,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Atheist,,3,2
3,2,4,5,3,1,4,2,4,,,,,,,,,,,,,5,2,5,3,7,4,5,4,5,2,2,2,2,5,2,2,4,2,5,2,2,7,4,5,5,4,4,5,1,1,7,5,4,1,1,Male,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Agnostic,,2,2
2,2,1,3,2,3,3,2,2,5,5,4,2,5,4,4,2,5,4,2,3,4,4,5,5,5,5,5,5,3,4,1,7,1,6,3,4,6,5,2,2,2,6,4,4,4,4,4,4,1,1,7,1,5,1,1,Male,Heterosexual,35-44,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Agnostic,,2,2
4,5,5,5,5,1,5,4,5,5,4,1,3,5,4,1,5,5,2,1,1,6,5,5,3,7,2,5,3,4,1,3,1,3,6,2,1,2,1,5,2,5,7,4,4,5,4,5,5,6,2,6,2,2,5,5,Male,Heterosexual,25-34,White: Irish,,,,,22,W_Europe,Atheist,,3,2
3,5,5,5,,1,5,5,5,3,1,3,3,5,3,1,3,4,4,1,1,6,5,6,5,7,5,5,5,6,1,4,5,4,,2,4,2,2,4,4,4,4,1,6,5,5,3,6,4,4,4,5,2,4,4,Male,Heterosexual,45-54,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Atheist,,2,2
2,4,4,4,2,2,4,3,4,,,,,,,,,,,,,5,5,5,5,5,4,4,4,4,4,5,6,6,3,2,5,6,6,1,1,1,7,5,3,2,4,2,6,1,1,7,2,6,2,1,Male,Heterosexual,45-54,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Christian,,2,2
3,2,2,5,5,1,4,2,3,4,3,2,2,2,2,2,4,2,4,2,2,2,1,5,5,7,6,6,5,3,5,5,7,2,5,2,5,5,4,5,3,6,4,6,6,6,4,3,6,6,5,2,2,5,2,1,Male,Heterosexual,18-24,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Christian,,2,1
1,1,,,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,6,7,6,6,6,6,6,Male,Homosexual,18-24,"Any other Asian background, please describe",,,,,29,W_Europe,Buddhist,,1,1
2,2,2,2,4,3,3,1,1,,,,,,,,,,,,,5,5,6,3,6,6,6,5,4,3,1,7,2,1,7,7,6,3,1,1,1,6,5,5,6,3,5,5,1,3,2,5,1,1,1,Male,Heterosexual,25-34,Caribbean,,,,,1,W_Europe,Christian,,1,1
2,1,1,4,4,2,2,2,1,,,,,,,,,,,,,2,3,4,5,6,7,6,3,4,5,1,6,1,3,2,7,7,7,2,1,1,6,5,4,5,6,2,4,1,1,7,1,5,1,1,Male,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Catholic,,2,1
2,1,1,5,1,3,3,2,2,5,5,2,1,5,3,2,5,5,3,1,4,6,7,7,5,6,4,5,2,5,3,1,7,4,2,2,7,7,7,1,1,1,7,5,3,3,5,4,4,1,1,7,6,2,1,1,Male,Heterosexual,25-34,"Any other White background, please describe",Portuguese,,,,1,W_Europe,Agnostic,,1,1
1,1,1,5,5,1,5,3,2,,,,,,,,,,,,,5,4,5,3,7,5,3,1,7,1,1,7,1,1,1,7,7,7,1,1,1,7,6,6,6,6,1,5,1,1,4,1,1,1,1,Male,Heterosexual,55-64,White: English/Welsh/Scottish/Northern Irish/British,,,,,1,W_Europe,Agnostic,,2,1
1,1,1,1,1,5,2,2,1,,,,,,,,,,,,,4,5,3,5,5,2,5,3,4,3,1,3,4,4,4,5,5,5,1,1,,1,4,4,3,6,6,6,1,4,3,7,1,1,1,Male,Prefer not to say,18-24,"Any other Asian background, please describe",,,Cambodian,,3,S_SE_Asia,Buddhist,,1,3
2,2,1,3,2,4,1,1,2,,,,,,,,,,,,,2,6,4,6,6,5,7,5,2,2,2,5,4,3,2,5,7,7,1,5,2,6,3,5,4,3,2,5,5,2,6,4,5,2,4,Male,Prefer not to say,18-24,"Any other Asian background, please describe",,,Cambodian,,3,S_SE_Asia,Buddhist,,1,3
2,2,1,4,2,4,2,2,2,,,,,,,,,,,,,6,6,6,6,6,5,6,2,6,2,2,3,1,3,5,6,6,6,1,1,1,7,6,6,5,5,2,6,1,1,7,1,1,1,1,Male,Heterosexual,25-34,Pakistani,,,,,26,S_SE_Asia,Islamic,,1,3
2,2,3,3,2,3,1,2,1,,,,,,,,,,,,,6,6,3,1,6,4,6,7,7,2,4,5,4,3,2,4,4,3,4,1,5,5,2,5,6,3,4,5,5,5,3,4,5,3,4,Male,Homosexual,25-34,Chinese,,,,,3,S_SE_Asia,Atheist,,2,3
1,1,1,2,2,4,2,2,1,,,,,,,,,,,,,6,2,4,4,6,2,6,3,4,5,1,6,4,2,1,6,6,6,1,1,2,6,5,4,4,6,2,4,1,1,6,1,2,1,1,Male,Heterosexual,25-34,Indian,,,,,4,S_SE_Asia,Catholic,,2,3
1,1,1,3,3,5,2,1,1,,,,,,,,,,,,,6,3,6,5,7,5,7,4,5,3,2,6,2,4,4,6,6,7,1,1,1,7,5,6,5,6,4,5,2,2,6,1,4,4,1,Male,Heterosexual,45-54,"Any other Asian background, please describe",,,Filipino/Chinese,,28,S_SE_Asia,Catholic,,1,3
2,2,2,4,4,3,3,3,2,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,5,5,2,5,5,4,5,4,4,5,4,5,4,4,4,4,3,4,4,Male,Homosexual,18-24,Indian,,,,,4,S_SE_Asia,Hindu,,1,3
2,2,3,3,4,3,5,1,4,,,,,,,,,,,,,1,4,3,5,6,5,5,4,4,4,4,4,3,5,1,4,3,7,1,1,2,4,3,4,4,3,3,4,3,3,3,5,3,3,5,Male,Heterosexual,18-24,"Any other Asian background, please describe",,,Cambodian,,3,S_SE_Asia,Buddhist,,2,2
1,1,1,1,1,5,1,1,1,,,,,,,,,,,,,5,6,6,6,7,7,4,5,3,4,1,5,4,2,6,3,6,7,2,4,3,6,3,5,4,5,4,5,1,7,6,6,4,1,1,Male,Prefer not to say,18-24,"Any other Asian background, please describe",,,Cambodian,,3,S_SE_Asia,Buddhist,,2,1
2,1,2,3,4,3,4,2,1,,,,,,,,,,,,,7,1,7,1,7,1,7,1,7,1,6,5,2,4,2,6,6,6,2,2,3,6,4,5,6,3,1,5,4,4,5,5,5,2,2,Male,Heterosexual,25-34,Indian,,,,,4,S_SE_Asia,Hindu,,1,1
3,3,4,4,3,2,2,2,2,4,1,2,1,4,1,4,3,4,3,3,2,6,4,5,3,5,1,6,3,6,5,1,4,2,5,6,6,5,4,4,1,4,7,4,5,5,4,3,5,3,2,4,6,2,2,1,Female,Heterosexual,18-24,Caribbean,,,,,2,N_America,Christian,,2,3
2,1,5,3,1,3,5,2,2,5,4,1,1,5,2,1,2,5,3,1,3,5,1,7,4,7,5,6,4,6,1,1,7,1,1,2,6,7,7,1,1,1,7,6,6,6,5,5,6,1,1,6,7,1,1,1,Female,Heterosexual,45-54,African,,,,,2,N_America,Catholic,,2,3
2,2,5,5,4,1,2,1,1,,,,,,,,,,,,,3,4,7,3,6,5,5,2,5,4,1,5,1,3,5,6,6,6,1,1,1,5,4,5,5,5,4,5,1,1,6,1,1,1,1,Female,Homosexual,65-74,"Any other White background, please describe",Eastern European,,,,2,N_America,Other,Lutheran,3,3
2,1,2,4,1,3,2,2,2,4,4,2,3,3,2,1,3,4,1,1,1,5,3,6,2,6,5,6,2,6,3,2,4,1,2,4,5,4,5,2,2,2,5,5,5,5,4,3,4,1,1,6,1,1,1,1,Female,Heterosexual,65-74,"Any other White background, please describe",White American,,,,2,N_America,Other,,1,3
2,1,1,4,1,4,4,2,2,4,5,1,1,5,4,1,2,5,5,1,2,6,2,7,7,5,2,7,4,1,1,1,7,5,3,3,3,5,3,1,1,2,7,5,6,2,6,4,6,1,1,7,7,1,1,2,Female,Bisexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Agnostic,,3,3
2,1,1,5,5,1,2,1,1,,,,,,,,,,,,,2,6,7,5,6,6,7,1,6,7,1,6,1,1,7,5,5,7,,1,1,7,6,5,4,6,2,5,1,1,1,6,7,1,1,Female,Heterosexual,45-54,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Christian,,2,3
3,2,3,2,2,4,5,4,2,,,,,,,,,,,,,5,5,5,7,3,7,7,7,7,7,5,5,2,5,5,5,5,5,2,2,4,6,4,4,2,3,4,4,5,3,3,2,2,2,2,Female,Heterosexual,18-24,"Any other ethnic background, please describe",,,,Hispanic,2,N_America,Catholic,,2,2
2,2,4,4,4,2,3,1,2,5,4,1,2,5,2,2,4,5,4,2,4,3,5,6,5,7,5,6,2,3,3,1,7,2,3,6,6,5,7,1,1,1,7,5,6,3,6,1,5,1,1,6,1,1,1,1,Female,Bisexual,18-24,"Any other White background, please describe","I live in the US, ancestors are German and Irish",,,,2,N_America,Agnostic,,2,2
2,3,2,5,4,1,3,2,2,5,2,5,1,2,1,2,2,2,4,2,2,3,6,7,7,7,5,3,5,3,6,1,7,5,1,5,5,7,5,1,1,1,7,6,2,2,3,6,4,1,6,1,6,1,1,1,Female,Heterosexual,18-24,Caribbean,,,,,2,N_America,Christian,,2,2
1,1,1,3,2,4,2,2,2,,,,,,,,,,,,,6,2,6,5,6,6,6,3,5,2,1,7,1,2,6,5,5,5,1,1,1,7,5,6,5,5,4,4,1,1,1,3,3,1,1,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Christian,,2,2
1,2,2,4,2,2,3,2,1,,,,,,,,,,,,,3,5,5,7,5,6,5,5,6,3,1,7,4,2,5,4,6,6,2,1,1,6,5,5,4,4,4,4,1,1,4,1,2,1,1,Female,Heterosexual,25-34,"Any other Mixed background, please describe",,White and Arab,,,2,N_America,Agnostic,,1,2
2,2,1,3,4,4,2,2,2,,,,,,,,,,,,,5,5,7,1,6,1,6,1,6,5,1,7,5,6,5,7,7,7,1,1,1,7,6,5,5,5,4,5,1,1,7,5,5,1,1,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Christian,,3,2
2,5,3,3,2,1,2,2,2,,,,,,,,,,,,,6,1,5,6,6,1,7,4,3,1,1,7,2,1,7,6,7,5,1,1,1,3,2,5,4,1,5,5,1,1,6,4,1,1,1,Female,Bisexual,25-34,Mix: White and Black African,,,,,2,N_America,Christian,,2,2
3,3,1,3,2,3,4,3,4,5,4,4,3,4,4,3,1,4,3,2,4,3,4,5,5,7,5,5,4,4,3,1,4,4,5,4,4,5,4,3,1,2,6,4,5,5,4,3,4,2,3,6,2,5,2,2,Female,Bisexual,25-34,Mix: White and Asian,,,,,2,N_America,Christian,,2,2
2,3,3,5,5,1,2,2,2,,,,,,,,,,,,,1,5,6,3,5,6,3,3,5,5,1,6,4,2,5,3,2,5,1,1,1,5,4,4,4,5,2,4,1,1,6,2,1,1,1,Female,Heterosexual,35-44,Indian,,,,,2,N_America,Atheist,,2,2
2,2,1,3,1,3,1,1,1,,,,,,,,,,,,,5,4,5,5,5,5,7,1,6,3,1,7,1,1,7,1,7,7,,,,,6,5,3,6,3,4,1,1,7,1,1,1,,Female,Heterosexual,45-54,"Any other White background, please describe","White, german",,,,2,N_America,Other,Methodist,3,2
1,1,2,5,1,5,1,1,1,,,,,,,,,,,,,4,5,6,6,6,6,6,4,4,5,1,1,1,1,1,1,1,1,1,1,1,7,1,5,2,3,3,4,1,1,7,,,1,3,Female,Heterosexual,45-54,"Any other White background, please describe",White. Just white,,,,2,N_America,Catholic,,3,2
1,3,3,3,1,2,2,2,2,,,,,,,,,,,,,3,2,3,2,5,2,5,1,5,2,1,6,1,1,2,6,7,7,1,1,1,7,4,4,3,5,3,3,1,1,7,1,1,1,1,Female,Heterosexual,45-54,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Christian,,2,2
2,3,3,4,3,4,4,4,2,4,4,4,2,4,4,5,2,4,2,2,4,6,4,7,5,7,5,6,4,4,4,1,5,2,3,6,6,6,5,1,1,1,6,5,4,3,5,4,4,2,1,2,3,4,2,1,Female,Heterosexual,25-34,"Any other White background, please describe",German,,,,2,N_America,Christian,,2,2
2,4,4,5,5,1,4,3,3,5,4,1,1,5,2,1,2,5,2,1,1,5,2,6,7,7,3,7,1,3,1,1,6,1,5,5,3,3,3,3,1,2,6,5,3,3,5,2,5,5,3,6,3,6,2,2,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Catholic,,2,2
2,5,5,5,4,2,3,3,2,5,5,4,1,5,4,2,1,5,4,1,5,7,5,4,5,6,2,6,4,2,1,1,7,5,4,4,3,5,3,1,1,2,7,2,3,3,2,5,5,2,2,6,4,5,2,2,Female,Bisexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Agnostic,,3,2
2,2,2,1,3,1,4,3,3,5,5,5,3,5,5,5,5,3,5,5,5,3,5,7,5,7,4,3,5,4,4,3,6,6,2,7,2,7,4,1,1,1,7,4,4,4,2,5,5,1,1,1,7,7,1,2,Female,Heterosexual,25-34,Mix: White and Asian,,,,,2,N_America,Agnostic,,2,2
3,3,3,5,5,2,5,2,1,,,,,,,,,,,,,5,1,4,5,7,2,7,3,3,1,1,7,2,3,2,2,6,2,1,1,1,7,5,5,4,4,3,6,1,1,6,5,3,1,1,Female,Bisexual,25-34,"Any other White background, please describe",Eastern European,,,,5,N_America,Agnostic,,1,2
4,5,5,5,5,1,4,3,4,,,,,,,,,,,,,5,2,6,5,6,5,7,5,5,2,1,6,1,2,2,2,5,2,1,1,1,7,5,6,6,6,2,3,1,1,7,1,1,1,1,Female,Bisexual,35-44,"Any other White background, please describe",White with Italian background,,,,2,N_America,Agnostic,,2,2
2,1,1,3,2,3,3,2,3,3,4,4,3,4,3,4,2,4,3,3,4,3,2,6,5,5,5,6,4,5,4,2,6,2,4,6,6,6,6,1,1,1,7,3,5,5,5,4,5,1,2,4,5,2,2,4,Female,Bisexual,45-54,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Christian,,2,2
1,2,3,5,4,1,2,2,2,,,,,,,,,,,,,6,2,6,2,7,3,7,2,6,2,2,3,1,5,6,1,4,6,2,1,1,5,3,4,4,2,4,5,1,4,5,1,5,1,1,Female,Heterosexual,55-64,White: Irish,,,,,2,N_America,Christian,,2,2
4,4,4,5,5,1,4,3,3,,,,,,,,,,,,,5,5,6,6,7,5,7,2,5,1,1,7,1,1,7,7,7,7,1,1,1,7,2,6,3,5,5,6,1,1,7,1,1,1,1,Female,Bisexual,18-24,White: Irish,,,,,2,N_America,Agnostic,,3,1
4,3,4,4,3,4,3,2,2,,,,,,,,,,,,,5,6,4,5,5,5,5,6,3,1,2,6,5,4,3,5,6,7,5,1,1,6,6,4,3,5,4,4,2,3,4,3,4,1,5,Female,Heterosexual,18-24,"Any other ethnic background, please describe",,,,Native American,2,N_America,Other,Lutheran,3,1
3,2,2,5,1,5,4,4,4,,,,,,,,,,,,,2,2,7,7,7,7,7,5,7,3,7,7,7,7,1,7,7,7,1,1,7,7,6,4,4,4,5,5,7,7,1,6,7,1,2,Female,Homosexual,18-24,African,,,,,2,N_America,Christian,,1,1
3,3,5,5,3,1,4,3,4,,,,,,,,,,,,,5,5,6,4,7,4,5,5,5,2,1,7,5,2,6,6,7,6,1,1,1,7,5,5,6,2,2,6,1,1,6,5,1,1,1,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Atheist,,3,1
2,1,1,5,5,1,4,3,3,,,,,,,,,,,,,3,4,7,5,6,5,2,1,3,5,1,5,3,5,4,3,4,4,2,1,3,6,4,3,4,5,5,6,3,2,6,3,6,2,2,Female,Heterosexual,25-34,"Any other White background, please describe",American,,,,2,N_America,Atheist,,2,1
1,3,3,2,1,4,1,1,1,,,,,,,,,,,,,3,6,7,5,7,6,7,2,7,4,1,6,1,1,6,7,7,7,1,1,1,6,3,5,6,3,4,5,1,2,7,1,1,1,1,Female,Heterosexual,25-34,White: Irish,,,,,2,N_America,Christian,,3,1
2,1,1,5,2,1,3,3,2,5,4,1,2,5,2,1,4,5,4,1,2,5,3,7,6,6,6,7,1,6,1,1,2,4,4,2,2,3,3,3,1,1,5,4,4,4,4,3,4,1,1,6,3,1,1,1,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Agnostic,,3,1
2,4,5,5,2,1,2,2,1,5,4,2,1,5,3,1,2,5,3,1,4,5,3,5,7,7,6,7,3,3,5,1,6,3,3,5,5,5,5,1,1,1,6,5,4,3,2,2,4,1,1,6,1,1,1,1,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Catholic,,1,1
2,4,3,1,1,2,2,1,1,,,,,,,,,,,,,7,5,7,1,7,5,7,1,7,1,1,7,1,1,7,7,7,7,1,1,1,7,6,6,6,6,3,3,1,1,7,1,1,1,1,Female,Heterosexual,25-34,"Any other ethnic background, please describe",,,,Colombia,2,N_America,Christian,,3,1
2,4,5,5,4,1,5,4,4,5,4,4,2,5,3,4,1,4,4,4,1,3,5,3,7,7,5,3,6,3,1,1,2,1,5,2,2,2,2,1,3,3,7,1,4,3,2,2,5,5,5,7,4,7,3,5,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Atheist,,1,1
2,2,1,3,1,5,2,1,1,5,4,3,3,5,3,2,1,4,4,1,5,2,3,6,6,7,7,7,4,4,2,1,6,1,1,7,6,7,6,1,1,1,7,5,6,5,5,4,6,1,1,4,1,1,1,1,Female,Heterosexual,25-34,"Any other White background, please describe",,,,,2,N_America,Agnostic,,2,1
2,1,1,1,1,5,1,2,1,,,,,,,,,,,,,2,2,6,6,5,7,7,3,5,3,1,6,1,1,6,7,6,6,1,1,1,7,6,5,4,5,3,3,1,1,4,1,1,1,1,Female,Heterosexual,25-34,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Christian,,2,1
2,2,5,4,4,2,3,3,3,,,,,,,,,,,,,5,5,5,6,5,5,7,3,5,2,6,3,4,6,2,3,3,3,2,3,5,7,6,6,6,5,4,6,6,5,5,5,6,2,2,Female,Heterosexual,35-44,White: English/Welsh/Scottish/Northern Irish/British,,,,,2,N_America,Christian,,3,1
